project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 30 no Prado Jeep motor vehicles for Hon. Members,3682850000.0,1183408806.0,1000000000.0,183000000.0,192150000.0,201757500.0,0.0,211,0.36193,0.3799,011200300100,Sokoto State House of Assembly,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Purchase of 1000 no office chairs. 36 no. executive chairs and 100 no. office tables for House of Assembly offices,0.0,67500000.0,0.0,300000000.0,31500000.0,33075000.0,0.0,211,0.3701,0.38807,011200300100,Sokoto State House of Assembly,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126002600,Reform of Government and Governance - General
Purchase of 50 Units of Core i7 HP Computers(Lap Top) For Management Staff and Committee Secretariat,0.0,7500000.0,0.0,40400000.0,31920000.0,33516000.0,0.0,211,0.37908,0.39706,011200300100,Sokoto State House of Assembly,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126002700,Reform of Government and Governance - General
"Purchase of 12no Portable Photocopying Machines: 4no.HP Laser Jet pro MFP M126aplus, 4no. HP LASER JET pro MFP 4104dw, 4no. HP LASER JET pro MFP 3101dw",0.0,10000000.0,0.0,12000000.0,10500000.0,11025000.0,0.0,211,0.38725,0.40523,011200300100,Sokoto State House of Assembly,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126002800,Reform of Government and Governance - General
"Purchase of 4 no of HD Scanners: 2no EPSON DS 770 11, 2no. BROTHER ADS-4700W",0.0,7000000.0,0.0,4000000.0,4200000.0,4410000.0,0.0,211,0.39542,0.4134,011200300100,Sokoto State House of Assembly,23010118,PURCHASE OF SCANNERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126002900,Reform of Government and Governance - General
Procurement of 2no Scanning machine for Mini Clinic at the State House of Assembly Complex,0.0,22500000.0,0.0,3500000.0,3675000.0,3858750.0,0.0,211,0.40359,0.42157,011200300100,Sokoto State House of Assembly,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003000,Reform of Government and Governance - General
"Purchase of Fire fighting Equipments which include 3no ABC Dry Chemical Extinguisher and 2 Water Mist Extinguisher,4no Sirens,4no Solar Powered CCTV,Security Observation Tower and Solar Powered Street Light for the House Complex",0.0,75000000.0,0.0,70000000.0,73500000.0,77175000.0,0.0,211,0.41176,0.42974,011200300100,Sokoto State House of Assembly,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003100,Reform of Government and Governance - General
Provision of E-Library with Library Management Soft ware (General and Law Library),0.0,45000000.0,0.0,50000000.0,52500000.0,55125000.0,0.0,211,0.41993,0.43791,011200300100,Sokoto State House of Assembly,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70971,R & D EDUCATION,33342400,State Wide,05050326000100,Libraries and laboratories
"Purchase of Security Equipments such as walking talkie, flashlight, garret super scanner, V metal detector, Solar Surveillance camera( CCTV) and others",0.0,16500000.0,0.0,30000000.0,18900000.0,19845000.0,0.0,211,0.4281,0.44608,011200300100,Sokoto State House of Assembly,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003200,Reform of Government and Governance - General
"provision of Patient care equipments which include 20no. Hospital Beds, 2no Wheel Chair, 1no. Patient Monitor for Assembly Mini Clinic",0.0,105000000.0,0.0,2500000.0,2625000.0,2756250.0,0.0,211,0.43627,0.45425,011200300100,Sokoto State House of Assembly,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003300,Reform of Government and Governance - General
"Provision of Water Equipments Such as 3no. Submersible Pumps, 2 no Pump Motors, 20 no. 2-inch Pipe and 4no. Over Head Tanks",0.0,30000000.0,0.0,4000000.0,2100000.0,2205000.0,0.0,211,0.44444,0.46242,011200300100,Sokoto State House of Assembly,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003400,Reform of Government and Governance - General
Rehablitation of libraries ( Law and Gen. Libraries),0.0,6250000.0,0.0,7000000.0,7350000.0,7717500.0,0.0,211,0.45261,0.47059,011200300100,Sokoto State House of Assembly,23030110,REHABILITATION / REPAIRS - LIBRARIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,05050326000200,Libraries and laboratories
"Rehablitation of office Building which include offices of Rt Hon. Speaker, Deputy speaker 28 Hon. Members, Clerk to the House, members louge and others",0.0,700000000.0,0.0,2500000000.0,3150000000.0,3307500000.0,0.0,211,0.46078,0.47876,011200300100,Sokoto State House of Assembly,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000200,Reform of Government and Governance - General
"Provision of ICT Facilities such as 3 5G Star link, GEN4 Server and Soft and Hard Ware equipment",0.0,10000000.0,0.0,10000000.0,10500000.0,11025000.0,0.0,211,0.46895,0.48693,011200300100,Sokoto State House of Assembly,23030127,REHABILITATION/REPAIRS- ICT INFRASTRUCTURES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003500,Reform of Government and Governance - General
Purchase of 2units of 18 seater Toyota Bus,0.0,200000000.0,0.0,300000000.0,315000000.0,330750000.0,0.0,211,0.47712,0.4951,011200300100,Sokoto State House of Assembly,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003600,Reform of Government and Governance - General
purchase of 2no Hilux 2024 Model,0.0,118000000.0,0.0,200000000.0,210000000.0,220500000.0,0.0,211,0.48611,0.50408,011200300100,Sokoto State House of Assembly,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003700,Reform of Government and Governance - General
Construction of Guest House for the Hon. Members,137000000.0,100000000.0,0.0,100000000.0,105000000.0,110250000.0,0.0,211,0.49428,0.51225,011200300100,Sokoto State House of Assembly,23020104,CONSTRUCTION / PROVISION OF HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003800,Reform of Government and Governance - General
Provision of Land Scaping and acces Road in the House of Assembly Complex,0.0,5000000.0,0.0,10000000.0,5250000.0,5512500.0,0.0,211,0.50245,0.52042,011200300100,Sokoto State House of Assembly,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126003900,Reform of Government and Governance - General
Provision of Parking space and garden,0.0,5000000.0,0.0,5000000.0,5250000.0,5512500.0,0.0,211,0.51062,0.52859,011200300100,Sokoto State House of Assembly,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126004000,Reform of Government and Governance - General
Provision of Restaurant at the House Complex,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,211,0.51879,0.53676,011200300100,Sokoto State House of Assembly,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126004100,Reform of Government and Governance - General
Purchase of 12 no of Printers: 7no. HP Laser Jet Pro and 5 no. HP Laser Jet Enterprise,0.0,5000000.0,0.0,5000000.0,3150000.0,3307500.0,0.0,211,0.52696,0.54493,011200300100,Sokoto State House of Assembly,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126004200,Reform of Government and Governance - General
"Purchase of Motor Vehicles for Speaker and Deputy Speaker Fleet(1no Land Cruser Lexus, 2no Parado, 1no Camry, 2no Hilux and 1no Corolla.)",0.0,460000000.0,0.0,50000000.0,52500000.0,55125000.0,0.0,211,0.53513,0.5531,011200300100,Sokoto State House of Assembly,23010104,PURCHASE MOTOR CYCLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000300,Reform of Government and Governance - General
Purchase of Plant and Generator (200kVA Mikano),0.0,100000000.0,0.0,0.0,26250000.0,27562500.0,0.0,211,0.5433,0.56127,011200300100,Sokoto State House of Assembly,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126004300,Reform of Government and Governance - General
"Provision of Solar system to the Chamber and key offices in the Assembly such as Roof Top Solar Installation, Roof mounted Solar Panels, EV Charging Stations and Battery Energy Storage System",0.0,100000000.0,0.0,250000000.0,47250000.0,49612500.0,0.0,211,0.55147,0.56944,011200300100,Sokoto State House of Assembly,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126004400,Reform of Government and Governance - General
Purchase of 15 no tables and chairs for House of Assembly Service Commission offices,0.0,1400000.0,0.0,10000000.0,0.0,0.0,0.0,211,0.59314,0.61111,011200400100,House of Assembly Service Commission,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Purchase of 1 no 18 Seater Toyota Bus 2019 model,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,211,0.60131,0.61928,011200400100,House of Assembly Service Commission,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000200,Reform of Government and Governance - General
"Purchase of 5 HP laptops, Core i5 8Gen 256ssd 8gb Ram",0.0,5000000.0,0.0,3000000.0,0.0,0.0,0.0,211,0.60948,0.62745,011200400100,House of Assembly Service Commission,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000400,Reform of Government and Governance - General
"Purchase of 5 no books shelves, book trolleys, for the Commission's Library",0.0,1000000.0,0.0,0.0,2000000.0,2000000.0,0.0,211,0.61765,0.63562,011200400100,House of Assembly Service Commission,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70971,R & D EDUCATION,33342400,State Wide,05050326000300,Libraries and laboratories
Renovation of existing block of the House Service Commission,0.0,5000000.0,0.0,500000000.0,0.0,0.0,0.0,211,0.62582,0.64379,011200400100,House of Assembly Service Commission,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000600,Reform of Government and Governance - General
Purchase of 1 no of Toyota HILUX 2019 model,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,211,0.63399,0.65196,011200400100,House of Assembly Service Commission,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000700,Reform of Government and Governance - General
Procurement of Solar equipment for the House of Assembly Service Commission Building,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,211,0.64216,0.66013,011200400100,House of Assembly Service Commission,23010119,PURCHASE OF POWER GENERATING SET,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126004500,Reform of Government and Governance - General
Purchase of 5 no photocopiers kyocera M4125idn,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,211,0.65033,0.6683,011200400100,House of Assembly Service Commission,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126004600,Reform of Government and Governance - General
Procurement of NAUTEL transmitter for digitalisation of RTV to meet the NBC standard,0.0,73462236.53,73462236.53,0.0,0.0,0.0,0.0,211,0.69199,0.70997,012300100100,Ministry of Information,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125000500,Information Communication and Technology - General
Purchase of 1. N0s Toyota Hilux & 1 no Toyota 18 seaters Bus for the Ministry and it's Parastatals,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,211,0.70016,0.71814,012300100100,Ministry of Information,23010105,PURCHASE OF MOTOR VEHICLES,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125000700,Information Communication and Technology - General
"Procurement of 60KVA inverter, 20 600Wt panels and 30kwt lithium battery for the Ministry",0.0,30000000.0,0.0,60000000.0,60000000.0,60000000.0,0.0,211,0.70833,0.72631,012300100100,Ministry of Information,23010119,PURCHASE OF POWER GENERATING SET,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001000,Information Communication and Technology - General
Purchase of 50 no tables and chairs for the Ministry Headquater offices,0.0,40000000.0,0.0,100000000.0,100000000.0,100000000.0,0.0,211,0.7165,0.73448,012300100100,Ministry of Information,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001100,Information Communication and Technology - General
"Purchase of 20 no multipurpose tables, chairs, cabinet, booths and benches for the State Media Corporation",0.0,51350306.0,19824589.87,0.0,0.0,0.0,0.0,211,0.72467,0.74265,012300100100,Ministry of Information,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001200,Information Communication and Technology - General
Renewal of Broadcast license from NBC for 2 Media Houses,0.0,6537763.47,0.0,0.0,0.0,0.0,0.0,211,0.73284,0.75082,012300100100,Ministry of Information,23030127,REHABILITATION/REPAIRS- ICT INFRASTRUCTURES,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001400,Information Communication and Technology - General
Repairs of Ronald web-offset Kord Printing and Cutting Machines,0.0,30000000.0,0.0,30000000.0,30000000.0,30000000.0,0.0,211,0.74101,0.75899,012300100100,Ministry of Information,23030127,REHABILITATION/REPAIRS- ICT INFRASTRUCTURES,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001500,Information Communication and Technology - General
Procurement of Studio Equipment for the Ministry,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,211,0.74918,0.76716,012300100100,Ministry of Information,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001700,Information Communication and Technology - General
Procurement of 2No of 10Kilowart FM Transmitters at Media Cooperation Sokoto,0.0,520000000.0,390000000.0,89446000.0,0.0,0.0,0.0,211,0.75735,0.77533,012300100100,Ministry of Information,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125001800,Information Communication and Technology - General
Procurement of 2NO Cinema Vans for the Ministry,0.0,0.0,0.0,300000000.0,0.0,0.0,0.0,211,0.76552,0.7835,012300100100,Ministry of Information,23010106,PURCHASE OF VANS,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100126000100,Information Communication and Technology - General
Purchase of 30 set of executive tables and chairs for state Media Cooperation,0.0,0.0,0.0,100000000.0,100000000.0,100000000.0,0.0,211,0.77369,0.79167,012300100100,Ministry of Information,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100126000200,Information Communication and Technology - General
Renovation of Sokoto State Newspaper the path office Complex,0.0,0.0,0.0,181306266.0,181306266.0,181306266.0,0.0,211,0.78268,0.80065,012300100100,Ministry of Information,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100126000300,Information Communication and Technology - General
"Procurement of industrial equipment for the ministry such as Video/photograph Camara,Digital Midget",0.0,0.0,0.0,89500000.0,99500000.0,99500000.0,0.0,211,0.79085,0.80882,012300100100,Ministry of Information,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70831 - BROADCASTING AND PUBLISHING SERVICES,,"Decorder,Mobil Public Address system etc",33342400,State Wide,11100126000400,Information Communication and Technology - General
Purchase of Public Address System and Cinema Equipment for Gwadabawa,0.0,900233.0,0.0,0.0,0.0,0.0,0.0,211,0.79902,0.81699,012300100100,Ministry of Information,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125003000,Information Communication and Technology - General
Procurement of 1 no. Decorder and Incorder Digital Microwave link for RTV,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,211,0.83987,0.85784,012300300100,Sokoto State Rima Televiosn (Rtv),23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125000100,Information Communication and Technology - General
Procurement of central air conditioners to cool the transmitters of RTV,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,211,0.84804,0.86601,012300300100,Sokoto State Rima Televiosn (Rtv),23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125000200,Information Communication and Technology - General
Purchase of Declink Mini recorder (magic) and Declink Mini monitor (magic) transmitter for live coverag,0.0,24000000.0,0.0,0.0,0.0,0.0,0.0,211,0.85621,0.87418,012300300100,Sokoto State Rima Televiosn (Rtv),23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70831 - BROADCASTING AND PUBLISHING SERVICES,,es for Rima Television,33342400,State Wide,11100125000300,Information Communication and Technology - General
Provision of Solar panel inverters and batteries for RTV Media House,0.0,65000000.0,0.0,0.0,0.0,0.0,0.0,211,0.86438,0.88235,012300300100,Sokoto State Rima Televiosn (Rtv),23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70831,BROADCASTING AND PUBLISHING SERVICES,33342400,State Wide,11100125000400,Information Communication and Technology - General
